item_id,item_material,item_num,item_length,item_width,item_order
0,YW10-0218S,1,2001.0,58.0,order205
1,XXB-0218S,1,1339.0,352.5,order219
2,NHQL-0218S,1,2147.0,517.0,order517
3,NHQL-0215S,1,1179.5,702.0,order517
4,YW10-0218S,1,1998.0,558.0,order450
5,HT9-0218S,1,170.0,568.0,order237
6,HT9-0218S,1,769.0,358.0,order466
7,XXB-0215S,1,343.0,92.5,order312
8,HT9-0218S,1,2348.0,630.0,order303
9,NHQL-0218S,1,2348.0,558.0,order565
10,HT9-0218S,1,1568.0,368.0,order174
11,JH-0218S,1,878.0,478.0,order66
12,HT9-0218S,1,925.0,38.0,order319
13,YW10-0218S,1,2161.0,58.0,order86
14,NHQL-0225S,1,461.0,373.0,order287
15,NHQL-0215S,1,245.0,439.0,order485
16,NHQL-0218S,1,942.0,392.0,order287
17,GDMY-0215S,1,1320.5,400.0,order58
18,HT9-0218S,1,508.0,289.0,order475
19,YW10-0218S,1,2078.0,98.0,order203
20,NHJB-0218S,1,1625.0,377.0,order268
21,QKQ-0215S,1,753.0,172.5,order518
22,NHQL-0218S,1,344.0,530.0,order219
23,HT9-0215S,1,338.0,198.0,order482
24,XXB-0218S,1,735.0,558.0,order312
25,YW10-0218S,1,2398.0,299.0,order86
26,JH-0218S,1,418.0,458.0,order66
27,YW10-0218S,1,2182.0,579.0,order84
28,HT9-0218S,1,709.0,369.0,order237
29,YW10-0215S,1,261.5,907.5,order206
30,NJBB-0218S,1,1517.5,258.0,order312
31,NJYH-0215S,1,503.0,172.5,order565
32,QKQ-0215S,1,363.0,92.5,order204
33,HT9-0218S,1,470.0,264.0,order237
34,QKQ-0218SD,1,531.0,387.5,order200
35,XXB-0218S,1,507.0,415.0,order312
36,HT9-0218S,1,1198.0,370.0,order237
37,NJYH-0218S,1,1964.0,395.0,order91
38,NHQL-0218S,1,448.0,550.0,order574
39,YW8-0215S,1,713.0,132.5,order4
40,HT9-0215S,1,488.0,158.0,order497
41,HT9-0218S,1,2198.0,198.0,order237
42,XXB-0218S,1,754.0,387.5,order174
43,HT9-0218S,1,460.0,377.0,order323
44,NJYH-0218S,1,593.0,225.0,order565
45,GDMY-0215S,1,438.0,158.0,order58
46,YW10-0215S,1,480.0,771.0,order91
47,NHJB-0218S,1,148.0,548.0,order561
48,NHJB-0218S,1,2353.0,38.0,order561
49,NHJB-0218S,1,1159.0,548.0,order561
50,HT9-0218S,1,2048.0,118.0,order469
51,HT9-0218S,1,717.0,644.0,order155
52,YW10-0218S,1,662.5,558.0,order204
53,NJBB-0218S,1,270.0,258.0,order312
54,HT9-0215S,1,338.0,198.0,order482
55,CGYM-0215S,1,294.5,666.0,order316
56,HT9-0218S,1,882.0,447.0,order468
57,HT9-0218S,1,2114.0,441.5,order236
58,HT9-0215S,1,338.0,118.0,order466
59,HT9-0218S,1,1128.0,348.0,order470
60,HT9-0218S,1,712.0,327.0,order496
61,HT9-0218S,1,2367.0,218.0,order235
62,NHQL-0218S,1,701.0,260.0,order517
63,YW10-0218S,1,540.0,427.0,order83
64,NHQL-0215S,1,334.5,544.0,order220
65,YW10-0218S,1,880.0,328.0,order382
66,HT9-0218S,1,1755.0,337.0,order154
67,XXB-0215S,1,338.0,158.0,order323
68,NHQL-0218S,1,880.0,328.0,order563
69,YW10-0215S,1,1981.0,1063.0,order202
70,HT9-0218S,1,395.0,560.0,order236
71,HT9-0218S,1,1462.0,138.0,order233
72,GDMY-0218S,1,998.0,866.0,order59
73,QKQ-0218S,1,2388.0,98.0,order303
74,HT9-0218S,1,840.0,555.0,order237
75,NBSY-0218S,1,673.0,58.0,order61
76,LMW-0215S,1,898.0,153.0,order159
77,XXB-0218S,1,2273.0,576.0,order485
78,SL-0218S,1,762.0,237.0,order563
79,NHQL-0218S,1,530.0,578.0,order346
80,YW10-0218S,1,748.5,540.0,order201
81,NHQL-0218S,1,282.0,214.5,order519
82,CGYM-0218S,1,1024.0,495.0,order316
83,YSH-0215S,1,288.0,158.0,order158
85,QKQ-0218S,1,443.0,226.5,order250
86,NJBB-0218S,1,1350.5,430.0,order561
87,HT9-0218S,1,177.0,197.5,order472
88,HT9-0218S,1,448.0,58.0,order469
89,NHQL-0218S,1,761.0,555.0,order567
90,HT9-0218S,1,478.0,278.0,order232
92,YW10-0218S,1,668.0,299.0,order86
93,NHJB-0218S,1,1165.0,571.0,order269
94,YW10-0215S,1,1121.0,930.0,order217
95,YW10-0218S,1,711.0,558.0,order84
96,YGF-0218S,1,1162.0,327.0,order418
97,HT9-0218S,1,881.0,428.0,order468
98,HT9-0218S,1,1462.0,58.0,order233
99,NHQL-0218S,1,2101.0,329.0,order520
100,NHQL-0218S,1,674.0,317.0,order219
101,NHQL-0218S,1,1998.0,530.0,order219
102,NHQL-0218S,1,1998.0,530.0,order219
103,HT9-0218S,1,255.5,419.8,order237
104,HT9-0218S,1,643.0,277.0,order232
105,HT9-0218S,1,517.0,367.0,order237
106,HT9-0218S,1,935.5,369.0,order231
107,PSXH-0418S,1,793.0,446.5,order424
108,HT9-0218S,1,898.0,367.0,order174
109,NHQL-0218S,1,393.0,309.0,order520
111,HT9-0218S,1,278.0,38.0,order235
112,NHQL-0215S,1,538.5,660.0,order517
113,NHQL-0218S,1,2398.0,328.0,order566
114,HT9-0218S,1,1797.0,347.0,order497
115,NHQL-0218S,1,2388.0,558.0,order567
116,YW10-0215S,1,1480.0,517.0,order204
117,NHQL-0215S,1,1235.5,282.0,order519
118,NHQL-0215S,1,338.0,78.0,order517
119,NHJB-0218S,1,1625.0,58.0,order268
120,HT9-0218S,1,498.5,560.0,order156
121,HT9-0215S,1,190.0,840.0,order237
122,HT9-0218S,1,370.0,308.0,order496
123,XXB-0215S,1,388.0,158.0,order83
124,YW10-0218S,1,938.0,58.0,order204
125,NHQL-0218S,1,380.0,747.0,order121
126,HT9-0215S,1,388.0,118.0,order474
127,YW10-0218S,1,2001.0,579.0,order84
128,NHQL-0218S,1,942.0,58.0,order287
129,LMW-0218S,1,1458.0,369.0,order158
130,GDMY-0218SD,1,847.0,58.0,order58
131,HT9-0218S,1,860.0,58.0,order482
132,NHJB-0218S,1,1625.0,377.0,order268
133,HT9-0218S,1,2065.0,377.0,order232
134,YW10-0218S,1,394.0,557.0,order450
135,GHSS-0225S,1,698.0,788.0,order159
136,NHQL-0215S,1,245.0,439.0,order485
137,PKQL-0418S,1,266.5,393.5,order105
138,QKQ-0218SD,1,844.0,395.0,order519
139,HT9-0218S,1,2098.0,558.0,order474
140,YW10-0218S,1,723.0,428.0,order83
141,YW10-0218S,1,724.0,58.0,order424
142,XXB-0218S,1,394.0,395.0,order312
143,ZYF-0215S,1,355.0,439.0,order418
144,NHQL-0218S,1,942.0,58.0,order287
145,MNH-0218S,1,241.0,416.0,order58
146,HT9-0215S,1,568.0,92.5,order237
147,HT9-0218S,1,1798.0,38.0,order191
148,YW10-0218S,1,777.0,327.0,order205
149,NBSY-0218SD,1,950.0,58.0,order61
150,HT9-0218S,1,484.0,365.3,order233
151,HT9-0218S,1,1884.0,98.0,order475
152,NHQL-0218S,1,116.0,537.0,order517
153,HT9-0218S,1,399.0,58.0,order474
155,YW10-0218S,1,418.0,558.0,order450
156,HT9-0218S,1,361.0,327.0,order174
157,HT9-0218S,1,468.0,575.0,order237
158,NHQL-0218S,1,956.0,58.0,order565
159,HT9-0218S,1,301.0,358.0,order237
160,JH-0218S,1,414.5,535.0,order66
161,NHJB-0215S,1,491.0,1165.0,order269
162,YW10-0218S,1,649.5,298.0,order86
163,QKQ-0218S,1,414.0,151.5,order574
164,HT9-0218S,1,2118.0,58.0,order469
165,HT9-0218S,1,1642.0,579.0,order236
166,HT9-0218S,1,710.0,508.0,order233
167,NBSY-0215S,1,238.0,118.0,order60
168,HT9-0215S,1,1962.0,734.0,order497
169,NHJB-0218S,1,840.0,548.0,order561
170,YW10-0218S,1,2393.0,38.0,order200
171,QKQ-0218SD,1,275.0,463.3,order206
172,QKQ-0218S,1,2284.0,395.0,order603
173,NHQL-0218S,1,418.0,464.0,order520
174,NHQL-0218S,1,577.0,38.0,order250
175,NHQL-0225S,1,460.0,373.0,order287
176,NHQL-0215S,1,488.0,118.0,order219
177,HT9-0218S,1,1012.0,58.0,order469
178,HT9-0218S,1,2028.0,58.0,order469
179,XXB-0218SD,1,718.0,58.0,order449
180,NHJB-0218S,1,1417.0,58.0,order561
181,YW10-0218S,1,248.0,327.0,order205
182,NHQL-0218S,1,1498.0,58.0,order574
183,YW10-0218S,1,260.0,378.0,order423
184,QKQ-0215S,1,288.0,118.0,order574
185,HT9-0218S,1,448.0,580.0,order469
186,HT9-0218S,1,888.5,347.0,order497
187,YSH-0218S,1,921.0,402.0,order159
188,NBSY-0218S,1,706.5,350.5,order61
189,HT9-0218S,1,370.0,308.0,order496
190,HT9-0215S,1,568.0,92.5,order237
191,HT9-0218S,1,769.0,358.0,order466
192,HT9-0218S,1,534.0,272.5,order237
193,XXB-0215S,1,388.0,158.0,order83
194,HT9-0218S,1,302.0,58.0,order237
195,HT9-0218S,1,783.0,577.0,order235
196,YMH-0218S,1,560.5,360.3,order496
197,NHQL-0215S,1,581.5,92.5,order486
198,YW10-0215S,1,701.5,360.0,order450
199,HT9-0218S,1,1128.0,348.0,order470
200,NHJB-0218S,1,1818.0,58.0,order561
201,HT9-0218S,1,590.0,58.0,order237
202,HT9-0215S,1,707.0,489.0,order156
203,HT9-0215S,1,662.0,770.0,order466
204,GDMY-0218S,1,521.0,398.0,order58
205,YSH-0218S,1,743.0,198.5,order158
206,YW10-0218S,1,447.0,560.0,order85
207,NHQL-0218S,1,488.0,485.0,order287
208,HT9-0218S,1,1012.0,579.0,order469
209,YMH-0218S,1,2098.0,503.0,order469
210,NSLH-0218S,1,762.0,78.0,order560
211,NBSY-0218S,1,407.0,277.5,order60
212,YW10-0218S,1,2353.0,328.0,order205
213,NHQL-0218S,1,821.0,58.0,order220
214,JH-0218S,1,246.0,568.0,order63
216,HT9-0218S,1,712.0,327.0,order496
217,NHQL-0218S,1,912.0,529.0,order603
218,YW10-0225S,1,317.0,396.5,order450
219,HT9-0218S,1,760.0,308.0,order329
220,XXB-0215S,1,344.0,489.0,order312
221,HT9-0218S,1,801.0,579.0,order467
222,NHQL-0218S,1,361.0,508.0,order603
223,YW10-0218S,1,498.5,550.0,order91
224,NHQL-0215S,1,582.5,489.0,order486
225,YW10-0218S,1,706.0,279.0,order86
226,XXB-0215S,1,488.0,78.0,order319
227,XXB-0215S,1,357.5,489.0,order319
228,NHQL-0218S,1,410.0,556.0,order250
229,NBSY-0218S,1,971.0,297.0,order60
230,NHQL-0218S,1,812.0,58.0,order603
231,NHQL-0218S,1,1273.0,248.0,order519
232,QKQ-0218S,1,524.5,383.8,order201
233,XXB-0215S,1,651.0,239.0,order86
234,NHQL-0218S,1,312.0,277.0,order517
235,XXB-0218SD,1,2418.0,58.0,order449
236,NJYH-0218S,1,495.0,395.0,order91
237,NHQL-0215S,1,459.5,904.0,order520
238,XXB-0215S,1,388.0,238.0,order316
239,HT9-0215S,1,468.5,816.0,order234
240,PKQL-0418S,1,266.5,393.5,order105
241,HT9-0218S,1,370.0,518.0,order237
242,HT9-0218S,1,441.0,546.0,order475
243,HT9-0218S,1,882.0,58.0,order468
244,XXB-0215S,1,483.0,132.5,order83
245,YW8-0218S,1,803.0,193.5,order4
246,CGYM-0218S,1,462.0,379.0,order316
247,CGYM-0218S,1,462.0,379.0,order316
248,QKQ-0215S,1,655.0,132.5,order603
249,YMH-0218S,1,560.5,360.3,order496
250,NBSY-0218S,1,388.5,342.5,order60
251,NHJB-0215S,1,488.0,118.0,order561
252,HT9-0215S,1,2301.0,632.0,order231
253,HT9-0218S,1,847.0,583.0,order319
254,NHQL-0218S,1,762.0,327.0,order563
255,CGYM-0218S,1,2020.0,437.0,order316
256,NHQL-0218S,1,361.0,508.0,order603
257,HT9-0218S,1,638.0,38.0,order237
259,YW10-0218S,1,2161.0,298.0,order86
260,NHQL-0218S,1,458.0,397.5,order574
261,NHQL-0218S,1,677.0,529.0,order219
262,YW10-0218S,1,848.0,470.0,order458
263,NBSY-0215S,1,1247.0,722.0,order60
264,XXB-0218S,1,2109.0,372.5,order155
265,HT9-0218S,1,1473.0,370.0,order231
266,CBZP-0218S,1,298.0,368.0,order174
267,YW10-0218S,1,930.0,358.0,order424
269,NHQL-0215S,1,2251.0,912.0,order603
270,YW10-0218S,1,706.0,279.0,order86
271,NJBB-0218S,1,933.0,469.0,order561
272,NHQL-0225S,1,461.0,373.0,order287
273,YSH-0218S,1,668.0,545.0,order160
274,NHJB-0218S,1,877.0,343.0,order269
275,HT9-0218S,1,237.0,58.0,order472
276,HT9-0218S,1,517.0,367.0,order237
277,YW10-0218S,1,509.5,577.0,order202
278,GDMY-0215S,1,690.0,132.5,order58
279,NHJB-0218S,1,705.0,163.0,order561
280,YW10-0218S,1,1382.0,579.0,order85
281,NHQL-0218S,1,420.0,316.5,order574
282,YW10-0218S,1,1048.0,58.0,order203
283,YSH-0218S,1,402.0,249.0,order159
284,NHQL-0218S,1,479.0,508.0,order219
285,NHQL-0215S,1,488.0,198.0,order250
286,YW10-0218S,1,356.0,38.0,order424
287,YW10-0215S,1,2201.0,484.0,order92
288,XXB-0215S,1,288.0,118.0,order174
289,NBSY-0218S,1,898.0,38.0,order61
290,HT9-0218S,1,711.0,327.5,order470
291,NHQL-0218S,1,448.0,558.0,order250
292,HT9-0218S,1,632.0,58.0,order231
293,CGYM-0225S,1,2058.0,458.0,order316
294,CGYM-0218S,1,294.5,437.0,order316
