30
1100
3
-279.07	76.83	5.47	
-307.06	-250.88	2.84	
169.55	-116.92	2.88	
-109.51	-59.98	4.47	
-186.40	17.52	4.63	
-168.39	-89.97	5.26	
-266.56	144.50	4.70	
225.55	30.30	3.62	
18.79	-119.12	4.12	
-3.04	-51.53	2.48	
-104.10	134.85	2.24	
-251.05	-181.93	3.11	
-9.15	-281.51	3.40	
165.34	168.89	3.51	
316.14	-250.79	3.09	
21.50	156.29	4.15	
142.23	-262.76	2.10	
41.75	-316.10	4.90	
161.62	297.49	2.40	
174.10	-46.41	5.42	
-282.32	-252.27	2.16	
64.07	-54.73	3.47	
-178.25	4.78	2.59	
215.44	-114.74	3.74	
236.45	311.59	2.37	
109.98	-247.46	2.82	
299.58	-236.15	3.23	
-252.57	253.57	2.57	
63.96	262.77	2.56	
163.01	-53.35	2.95	
0.00000121613495	0.00000026743587	0.00000149969517	0.00000084561788	0.00000101087927	0.00000066115508	0.00000144480369	0.00000190895658	0.00000102118253	0.00000110304881	0.00000147650116	0.00000031006847	0.00000078499996	0.00000206431729	0.00000191850155	0.00000172796417	0.00000131068523	0.00000097543928	0.00000240681651	0.00000161706025	0.00000018248840	0.00000127803264	0.00000097092990	0.00000165480410	0.00000260018809	0.00000120087240	0.00000186029093	0.00000182091858	0.00000212343621	0.00000157149208	
0.00000220564651	0.00000289412552	0.00000154300170	0.00000193705730	0.00000200180676	0.00000216020092	0.00000209170973	0.00000099357293	0.00000178881952	0.00000164930846	0.00000156525868	0.00000258707170	0.00000232225874	0.00000069073487	0.00000192562945	0.00000113479284	0.00000205639205	0.00000234985804	0.00000052529280	0.00000130688357	0.00000283357464	0.00000151486707	0.00000200031037	0.00000149189160	0.00000026829335	0.00000204186599	0.00000187715523	0.00000197604942	0.00000087515804	0.00000134321187	
0.00000012166818	0.00000113211250	0.00000158565948	0.00000065263956	0.00000027402650	0.00000061512786	0.00000027838731	0.00000165137270	0.00000113201914	0.00000094540039	0.00000054985678	0.00000087374914	0.00000147316037	0.00000147885048	0.00000225353730	0.00000098289773	0.00000177740648	0.00000167282001	0.00000163254556	0.00000151806312	0.00000112374712	0.00000116397295	0.00000032511454	0.00000172973846	0.00000188377740	0.00000165938122	0.00000217901275	0.00000064782122	0.00000127796694	0.00000148762917	
0.00000131203335	0.00000031176572	0.00000153215723	0.00000092796840	0.00000110499806	0.00000075335627	0.00000154147660	0.00000195693585	0.00000106964003	0.00000116656633	0.00000156586782	0.00000040699190	0.00000077459092	0.00000213169944	0.00000191487781	0.00000180799286	0.00000130798642	0.00000095397982	0.00000248086610	0.00000166073547	0.00000023657351	0.00000132899453	0.00000106665533	0.00000168166074	0.00000267459414	0.00000120020189	0.00000186178472	0.00000191897971	0.00000220558569	0.00000161496056	
0.00000065490983	0.00000059847856	0.00000137004127	0.00000042379325	0.00000043577548	0.00000019597239	0.00000087286908	0.00000163032578	0.00000084595569	0.00000078915103	0.00000092511997	0.00000029925132	0.00000097502719	0.00000165229526	0.00000195217984	0.00000124201269	0.00000139489092	0.00000118983638	0.00000193428255	0.00000139939976	0.00000056582803	0.00000101547615	0.00000040413664	0.00000153067601	0.00000215568320	0.00000127045058	0.00000188269633	0.00000124365289	0.00000161800802	0.00000135862885	
0.00000115938243	0.00000161421708	0.00000068949544	0.00000066488743	0.00000083295006	0.00000089350481	0.00000116591010	0.00000060928852	0.00000057308695	0.00000037732526	0.00000063420671	0.00000130940075	0.00000114456201	0.00000059906445	0.00000137643333	0.00000041571936	0.00000110828897	0.00000124885742	0.00000097312923	0.00000052629495	0.00000154969223	0.00000033749022	0.00000081273736	0.00000079172204	0.00000114420006	0.00000102901603	0.00000129966187	0.00000129248226	0.00000077541352	0.00000051340637	
0.00000085708703	0.00000031988484	0.00000154050240	0.00000067512652	0.00000071060033	0.00000044527905	0.00000109072924	0.00000185903821	0.00000102072370	0.00000101494536	0.00000120498006	0.00000007998943	0.00000098899290	0.00000191684457	0.00000206175744	0.00000152055084	0.00000147234695	0.00000120165783	0.00000221135800	0.00000160448296	0.00000029966992	0.00000122796115	0.00000068087896	0.00000169955051	0.00000243101959	0.00000135220872	0.00000199648872	0.00000147408477	0.00000189962583	0.00000156022637	
0.00000086474595	0.00000198843588	0.00000193448820	0.00000131045333	0.00000100950446	0.00000138774508	0.00000063104150	0.00000173801731	0.00000165140284	0.00000140712288	0.00000067002850	0.00000171741872	0.00000214439125	0.00000132448256	0.00000262167709	0.00000090229996	0.00000229814854	0.00000231517895	0.00000122245664	0.00000176544906	0.00000197745404	0.00000153756522	0.00000105578229	0.00000203732300	0.00000148269416	0.00000219674891	0.00000254548671	0.00000029283411	0.00000089373400	0.00000175554828	
0.00000193926835	0.00000205279822	0.00000032942332	0.00000127092648	0.00000157273196	0.00000147674056	0.00000197578619	0.00000038909529	0.00000083867456	0.00000090422795	0.00000145399253	0.00000180324454	0.00000116540198	0.00000091213466	0.00000064498272	0.00000115023650	0.00000075943755	0.00000111909587	0.00000134477798	0.00000030132583	0.00000196929592	0.00000067113546	0.00000153681465	0.00000019130826	0.00000135847032	0.00000078279049	0.00000057761101	0.00000211262815	0.00000135905386	0.00000033094244	
0.00000055480344	0.00000162929461	0.00000162375570	0.00000092529196	0.00000062547771	0.00000099885882	0.00000037025678	0.00000151318944	0.00000129288741	0.00000105133227	0.00000032737217	0.00000134726400	0.00000176299369	0.00000119081239	0.00000231598522	0.00000069818241	0.00000194635244	0.00000194017838	0.00000122461238	0.00000148316580	0.00000160993038	0.00000121058652	0.00000066880550	0.00000174030771	0.00000148805933	0.00000183799383	0.00000223803611	0.00000033807890	0.00000086531079	0.00000146626001	
0.00000036624235	0.00000080054747	0.00000153607866	0.00000054275070	0.00000030191985	0.00000039366644	0.00000059768503	0.00000170858194	0.00000102896220	0.00000090396562	0.00000078361299	0.00000054726953	0.00000125278642	0.00000163507059	0.00000215860062	0.00000117345989	0.00000163232544	0.00000146366899	0.00000185639927	0.00000152033141	0.00000079206437	0.00000113976714	0.00000030836413	0.00000169066376	0.00000209840180	0.00000150564854	0.00000208780327	0.00000097813514	0.00000151732912	0.00000148250358	
0.00000005022668	0.00000116289002	0.00000166745361	0.00000073380542	0.00000035515701	0.00000068272363	0.00000022825533	0.00000172204247	0.00000121244798	0.00000102438141	0.00000059726544	0.00000091376465	0.00000154540226	0.00000153522025	0.00000233438058	0.00000103939697	0.00000185797406	0.00000175043527	0.00000167299549	0.00000159529667	0.00000116188295	0.00000124217193	0.00000040300246	0.00000180991473	0.00000192999610	0.00000173887623	0.00000226068135	0.00000061026138	0.00000131511489	0.00000156754723	
0.00000075605678	0.00000158805593	0.00000122993230	0.00000070902796	0.00000058504023	0.00000086858094	0.00000068121283	0.00000110510731	0.00000095628808	0.00000070900499	0.00000011351388	0.00000128387938	0.00000148423334	0.00000083510140	0.00000192003670	0.00000033487130	0.00000158987887	0.00000163851332	0.00000098563233	0.00000107558084	0.00000154947981	0.00000082659222	0.00000059903220	0.00000133823643	0.00000123466958	0.00000149058847	0.00000184172352	0.00000074488506	0.00000064155514	0.00000106108721	
