40
1200
3
-40.56	295.12	4.07	
19.67	49.86	3.41	
261.97	-154.66	4.97	
-265.15	264.39	4.75	
258.89	-109.10	2.81	
8.39	-161.03	2.01	
200.79	-138.88	3.46	
186.21	226.11	4.46	
-177.88	-120.56	3.66	
9.43	-20.48	3.94	
-65.69	71.85	3.52	
121.65	127.74	4.23	
86.02	288.26	2.33	
-129.25	24.22	3.38	
-0.67	-51.31	3.16	
81.67	-288.63	4.50	
-293.59	-265.69	3.75	
175.45	104.45	2.18	
250.58	-256.00	3.10	
-14.80	307.20	2.64	
-63.71	-14.18	2.44	
-187.78	228.82	4.80	
191.57	53.48	4.03	
92.23	-161.25	4.91	
212.35	-140.11	4.36	
2.82	-139.72	3.49	
145.63	-176.12	4.97	
187.71	-203.97	3.36	
285.01	-212.17	4.10	
-154.44	-280.55	4.70	
282.23	213.39	2.07	
87.09	-219.59	3.97	
94.15	-215.73	3.38	
-156.43	97.75	2.58	
-75.82	-22.97	3.45	
287.98	18.78	2.20	
29.61	61.05	3.94	
137.85	288.32	2.55	
298.16	159.29	2.05	
262.77	-22.98	2.63	
0.00000056588867	0.00000098150752	0.00000213071618	0.00000032591344	0.00000201736274	0.00000157841324	0.00000192715069	0.00000133640996	0.00000127256370	0.00000114575750	0.00000071444499	0.00000116303183	0.00000099439948	0.00000077425281	0.00000121455963	0.00000210966818	0.00000184284111	0.00000137465985	0.00000235933715	0.00000066753072	0.00000098743766	0.00000002543874	0.00000149907294	0.00000173498460	0.00000196321387	0.00000150067649	0.00000189141222	0.00000206720645	0.00000233252729	0.00000185434862	0.00000168436201	0.00000190126443	0.00000190141642	0.00000049110035	0.00000099862597	0.00000186821514	0.00000098458502	0.00000117961868	0.00000176046688	0.00000185619489	
0.00000175836971	0.00000089452441	0.00000029836542	0.00000217374312	0.00000029806491	0.00000063562116	0.00000007279663	0.00000131238329	0.00000130459953	0.00000075309435	0.00000117246809	0.00000098313496	0.00000157835234	0.00000126766384	0.00000072985014	0.00000066160883	0.00000178755475	0.00000087330359	0.00000050172792	0.00000175684173	0.00000099470191	0.00000188126253	0.00000068826507	0.00000033782346	0.00000011200137	0.00000065044214	0.00000019856036	0.00000024967079	0.00000046680123	0.00000132690714	0.00000131932830	0.00000046067713	0.00000042972110	0.00000149245487	0.00000101968159	0.00000068189126	0.00000090332457	0.00000154761470	0.00000115205776	0.00000050405329	
0.00000193782662	0.00000104572538	0.00000098411757	0.00000206452595	0.00000103558004	0.00000028114881	0.00000080134948	0.00000180748882	0.00000078457176	0.00000078723879	0.00000115190328	0.00000139229404	0.00000192772679	0.00000106369521	0.00000067616457	0.00000033958162	0.00000108314859	0.00000138666645	0.00000089989330	0.00000197743385	0.00000084606325	0.00000182608812	0.00000125621248	0.00000042638641	0.00000083517459	0.00000035705199	0.00000056222828	0.00000067910205	0.00000102492303	0.00000059322683	0.00000192021000	0.00000031158156	0.00000033850340	0.00000134732879	0.00000083132569	0.00000138702456	0.00000108709638	0.00000196713946	0.00000179299739	0.00000122052759	
0.00000085743662	0.00000106189523	0.00000160807064	0.00000167068897	0.00000144612113	0.00000174980900	0.00000153364057	0.00000021639565	0.00000199533499	0.00000129503121	0.00000121981187	0.00000062937316	0.00000039776876	0.00000150943248	0.00000141073666	0.00000211560495	0.00000266557877	0.00000065822990	0.00000196701238	0.00000076649158	0.00000143225399	0.00000140587603	0.00000083821157	0.00000165895160	0.00000153890712	0.00000168896148	0.00000167860525	0.00000177096531	0.00000182878689	0.00000240752442	0.00000040579458	0.00000186879404	0.00000184930473	0.00000144304784	0.00000148645748	0.00000102025357	0.00000100983813	0.00000021015730	0.00000058715975	0.00000114203134	
0.00000152722291	0.00000084292708	0.00000050459320	0.00000210020679	0.00000033725037	0.00000099475084	0.00000046477320	0.00000090653442	0.00000156646464	0.00000084319317	0.00000115936994	0.00000068278501	0.00000124352995	0.00000135483384	0.00000088676777	0.00000114176267	0.00000213748704	0.00000050332806	0.00000086471368	0.00000149928202	0.00000110793037	0.00000179337054	0.00000031671555	0.00000075367267	0.00000045745729	0.00000097238552	0.00000067320368	0.00000070558268	0.00000072384005	0.00000172467626	0.00000084971691	0.00000092169978	0.00000089513821	0.00000150255511	0.00000115048491	0.00000021563002	0.00000082021171	0.00000117084203	0.00000067395503	0.00000008107723	
0.00000208821985	0.00000126217461	0.00000137473595	0.00000206140756	0.00000142484001	0.00000057012844	0.00000119033114	0.00000209561484	0.00000064509387	0.00000100967734	0.00000127296943	0.00000167031677	0.00000215496150	0.00000110481106	0.00000089445781	0.00000064609106	0.00000071841159	0.00000170245360	0.00000125826144	0.00000214165639	0.00000096457430	0.00000186803800	0.00000159222905	0.00000080352441	0.00000122417104	0.00000061719679	0.00000095161213	0.00000106215547	0.00000140244207	0.00000021430501	0.00000224731111	0.00000069732682	0.00000072505531	0.00000137979259	0.00000092963003	0.00000175853081	0.00000131268816	0.00000222053085	0.00000213341962	0.00000159666004	
0.00000235541089	0.00000168303041	0.00000200922214	0.00000209481611	0.00000205174131	0.00000114752219	0.00000181713833	0.00000256021240	0.00000077433743	0.00000146588406	0.00000158069127	0.00000213743405	0.00000253105177	0.00000132577606	0.00000136037517	0.00000127306220	0.00000019797232	0.00000221206373	0.00000189231993	0.00000243104444	0.00000131659434	0.00000198858114	0.00000213503506	0.00000142246909	0.00000185409922	0.00000116865395	0.00000158175315	0.00000170186121	0.00000203947815	0.00000043232615	0.00000276311309	0.00000133580298	0.00000136294181	0.00000154769895	0.00000126726110	0.00000235111353	0.00000173856609	0.00000263338242	0.00000267456965	0.00000219642681	
0.00000008436637	0.00000098883356	0.00000204497020	0.00000078291193	0.00000190412590	0.00000173008434	0.00000188015117	0.00000093054120	0.00000163161595	0.00000122917559	0.00000087316563	0.00000092531232	0.00000052053329	0.00000107817755	0.00000133219764	0.00000223191801	0.00000226430052	0.00000112577227	0.00000233696432	0.00000014836975	0.00000118429280	0.00000057065509	0.00000129554721	0.00000179805877	0.00000190435751	0.00000164988731	0.00000191332010	0.00000206816962	0.00000226484715	0.00000217778992	0.00000127291208	0.00000199432034	0.00000198775238	0.00000086020252	0.00000121679360	0.00000163765348	0.00000096254450	0.00000070466288	0.00000139387586	0.00000167295360	
0.00000096357388	0.00000134891736	0.00000249022220	0.00000015748810	0.00000238950900	0.00000183471387	0.00000227740448	0.00000176338789	0.00000138101128	0.00000146565984	0.00000104755794	0.00000158050579	0.00000141126547	0.00000099719335	0.00000151534444	0.00000236438569	0.00000183181143	0.00000179236138	0.00000268643328	0.00000106180231	0.00000125772823	0.00000040882947	0.00000190520086	0.00000203246990	0.00000231095994	0.00000176079358	0.00000220890125	0.00000239147629	0.00000267891032	0.00000196041484	0.00000211375208	0.00000217871200	0.00000218428216	0.00000073294907	0.00000125176032	0.00000227523864	0.00000135943787	0.00000159539314	0.00000218683624	0.00000225219397	
0.00000094132919	0.00000083803475	0.00000128803725	0.00000170064811	0.00000112440019	0.00000146562676	0.00000120983150	0.00000012550886	0.00000178359358	0.00000104077458	0.00000106019653	0.00000037511403	0.00000053350893	0.00000134206925	0.00000115175845	0.00000180343238	0.00000244322928	0.00000034021361	0.00000164586740	0.00000087771926	0.00000122018398	0.00000140990642	0.00000051433505	0.00000135045393	0.00000121641823	0.00000140639252	0.00000136102948	0.00000144782342	0.00000150742723	0.00000214652951	0.00000030876566	0.00000155703082	0.00000153855164	0.00000133580267	0.00000127330360	0.00000071522317	0.00000078534339	0.00000040757375	0.00000038395601	0.00000082309546	
