20
1000
3
176.40	193.11	3.28	
268.95	180.50	4.62	
67.49	141.23	2.02	
185.29	108.62	4.04	
63.26	-32.11	2.56	
176.09	-278.80	3.57	
246.80	-136.20	3.59	
-99.60	-210.37	2.25	
283.82	175.50	2.79	
-42.68	-36.21	3.21	
239.40	110.68	3.13	
-289.90	23.23	4.02	
76.72	15.08	3.00	
-71.81	-282.87	4.39	
-239.55	-112.95	2.17	
130.93	132.87	3.68	
-269.52	173.16	3.22	
225.35	283.20	2.73	
-226.84	167.13	2.93	
-211.25	146.20	2.98	
0.00000151138974	0.00000182510895	0.00000118171647	0.00000159214613	0.00000143362807	0.00000228190915	0.00000213607478	0.00000159333333	0.00000187512109	0.00000118568161	0.00000176439744	0.00000070484261	0.00000138171474	0.00000185671677	0.00000116494433	0.00000139326878	0.00000019931760	0.00000168040833	0.00000026919780	0.00000035702551	
0.00000067464557	0.00000099039649	0.00000042937775	0.00000080989595	0.00000093376550	0.00000184145754	0.00000153153968	0.00000151146795	0.00000104180600	0.00000090667694	0.00000096447778	0.00000114768238	0.00000080182331	0.00000174146607	0.00000137447790	0.00000061092437	0.00000085997415	0.00000084315414	0.00000072596308	0.00000070499716	
0.00000153516184	0.00000182786104	0.00000114004787	0.00000151658535	0.00000115789072	0.00000189579200	0.00000185823506	0.00000110388315	0.00000187379645	0.00000083599918	0.00000169841217	0.00000019138580	0.00000116600136	0.00000136190057	0.00000063570064	0.00000134430398	0.00000033400795	0.00000179043844	0.00000034042425	0.00000030286451	
0.00000095783842	0.00000113736790	0.00000063783561	0.00000076610707	0.00000017409395	0.00000097192944	0.00000085057272	0.00000068518148	0.00000116333565	0.00000018650106	0.00000091680408	0.00000103685355	0.00000028782282	0.00000086238093	0.00000088016141	0.00000070476988	0.00000118849049	0.00000130005685	0.00000106351033	0.00000097942126	
0.00000155323790	0.00000176158536	0.00000117845925	0.00000139464019	0.00000080135413	0.00000121012811	0.00000134305288	0.00000032252741	0.00000179250468	0.00000049080987	0.00000155009769	0.00000069256824	0.00000091788596	0.00000057937052	0.00000029640450	0.00000130310604	0.00000109693778	0.00000188348390	0.00000103380874	0.00000095487836	
0.00000160614648	0.00000178736854	0.00000125382526	0.00000141612032	0.00000079763508	0.00000105420468	0.00000124577033	0.00000012485360	0.00000181167621	0.00000055374153	0.00000155951792	0.00000089023655	0.00000093634047	0.00000038077304	0.00000045733660	0.00000135217136	0.00000128756226	0.00000194479771	0.00000121984283	0.00000114061151	
0.00000028890813	0.00000026953038	0.00000068528523	0.00000051853765	0.00000112357772	0.00000179851104	0.00000130739581	0.00000192414935	0.00000030639405	0.00000135216493	0.00000047918555	0.00000193146179	0.00000096486380	0.00000207705655	0.00000201983702	0.00000054054058	0.00000172422671	0.00000010989286	0.00000158590356	0.00000155043781	
0.00000047912678	0.00000063460509	0.00000032519732	0.00000026518234	0.00000037155819	0.00000115634917	0.00000078489789	0.00000117666045	0.00000066384109	0.00000064571626	0.00000042762466	0.00000138985200	0.00000022036729	0.00000132836873	0.00000134944810	0.00000024412718	0.00000136736792	0.00000082143113	0.00000122271195	0.00000115644123	
0.00000133087581	0.00000131175165	0.00000122905874	0.00000104665129	0.00000072237156	0.00000026568057	0.00000028534295	0.00000098438068	0.00000130614541	0.00000097049718	0.00000106357933	0.00000179123977	0.00000083094547	0.00000093174637	0.00000148393924	0.00000114506729	0.00000200001179	0.00000163197959	0.00000188038829	0.00000179216295	
0.00000072240265	0.00000101074494	0.00000032304270	0.00000071055576	0.00000059536429	0.00000150574189	0.00000125922583	0.00000113961831	0.00000105509097	0.00000053362678	0.00000089389145	0.00000094562477	0.00000049839483	0.00000136688481	0.00000106269755	0.00000052914165	0.00000083685778	0.00000100513970	0.00000069194990	0.00000062681408	
