-259.20	-341.86	1.12	
304.83	-276.83	1.48	
332.86	-223.33	1.71	
165.98	-235.58	1.30	
-293.23	230.90	1.24	
-103.55	11.09	1.15	
-32.56	-260.88	1.40	
-249.33	153.47	1.86	
-200.53	279.14	1.76	
198.23	263.55	1.01	
357.88	-12.89	1.51	
-26.49	342.76	1.82	
311.58	74.05	1.41	
-302.56	-77.34	1.85	
244.69	34.99	1.72	
-51.79	-212.88	1.84	
-370.25	68.84	1.02	
-148.05	-81.66	1.26	
-354.64	-57.11	1.54	
-337.78	-307.48	1.89	
220.30	159.58	1.68	
246.26	199.67	1.50	
-249.93	-197.79	1.38	
341.03	-110.87	1.44	
335.26	-127.81	1.71	
166.12	-54.78	1.31	
132.98	5.31	1.94	
-275.87	-347.87	1.67	
-78.09	-12.81	1.75	
328.95	30.73	1.42	
-146.33	-170.78	1.18	
294.36	-249.54	1.20	
226.97	-219.96	1.35	
200.41	-75.68	1.73	
-38.68	-95.51	1.45	
-363.04	164.88	1.63	
144.30	-344.95	1.59	
-108.88	-336.90	1.26	
332.30	333.63	1.35	
-140.87	304.43	1.58	
318.50	-159.66	1.31	
94.70	-368.45	1.82	
122.82	139.14	1.48	
-311.50	56.07	1.97	
143.43	141.14	1.28	
366.52	-102.66	1.65	
-246.32	99.76	1.50	
111.38	-273.91	1.94	
-184.67	-10.01	1.88	
139.65	104.59	1.67	
68.48	-237.63	1.50	
0.57	315.10	1.29	
-305.34	106.26	1.07	
131.35	61.50	1.04	
136.80	10.64	1.80	
119.15	32.88	1.93	
250.24	172.73	1.12	
157.74	128.34	1.50	
-156.66	268.75	1.51	
-231.19	-225.88	1.38	
-246.99	47.95	1.96	
-234.28	-376.53	1.64	
-7.69	-148.58	1.69	
230.37	145.29	1.03	
-186.09	-15.45	1.52	
142.85	-264.73	1.38	
-248.83	152.77	1.88	
298.36	-236.94	1.25	
-214.37	-359.29	1.53	
326.33	9.90	1.42	
62.40	165.42	1.07	
220.10	-219.44	1.73	
75.79	181.92	1.65	
-342.53	0.91	1.59	
113.92	-218.00	1.88	
209.42	377.71	1.99	
-334.02	92.40	1.87	
216.98	-358.40	1.36	
-97.42	-367.10	1.00	
-58.11	-8.56	1.10	
240.70	-3.22	1.81	
89.83	-232.01	1.45	
-272.76	-292.92	1.79	
74.40	-344.48	1.80	
-357.07	-23.35	1.23	
-80.99	-368.20	1.56	
-233.57	131.15	1.63	
33.78	282.91	1.51	
83.04	352.71	1.50	
205.61	-247.10	1.34	
222.77	-86.10	1.04	
-302.36	173.59	1.87	
-323.31	-64.98	1.56	
15.07	-101.71	1.76	
355.21	-326.23	1.80	
53.07	-161.11	1.29	
145.37	-373.54	1.05	
-112.81	-68.43	1.89	
250.08	-49.78	1.66	
-50.05	-15.96	1.36	
-176.27	-215.53	1.93	
22.66	311.02	1.25	
-62.07	232.37	1.55	
-310.37	-294.28	1.59	
-34.95	-295.27	1.34	
-205.15	347.52	1.50	
-132.38	95.36	1.90	
-321.91	307.05	1.85	
335.42	-367.04	1.30	
17.55	-324.98	2.00	
-116.51	-181.45	1.54	
-304.88	252.91	1.11	
-300.41	118.80	1.49	
61.68	153.00	1.92	
-7.24	257.36	1.65	
-330.00	16.44	1.50	
71.44	-189.11	1.27	
209.03	-167.21	1.17	
-83.98	-230.48	1.70	
-7.60	-316.95	1.11	
334.98	-65.25	1.03	
-340.37	16.12	1.04	
253.95	-351.88	1.18	
-134.96	307.61	1.97	
293.85	-115.51	1.14	
301.10	-5.18	1.60	
-271.05	227.39	1.93	
-184.91	-83.46	1.62	
-191.51	-173.99	1.54	
270.06	-323.18	1.35	
-336.80	-364.22	1.97	
7.42	-379.43	1.57	
-151.79	324.93	1.62	
116.72	-294.79	1.33	
90.67	-294.27	1.02	
-76.26	-5.01	1.41	
335.11	32.52	1.69	
335.95	333.01	1.28	
209.07	269.43	1.21	
131.00	-228.89	1.64	
267.65	299.47	1.74	
-8.86	-16.69	1.93	
-208.76	-319.30	1.67	
322.70	-93.34	1.97	
-136.61	-123.65	1.06	
-210.79	180.28	1.48	
378.21	-214.30	1.12	
129.52	-97.53	1.66	
-224.21	-224.97	1.44	
222.55	1.64	1.17	
-80.14	376.99	1.96	
-299.54	341.03	1.66	
196.85	-20.46	1.58	
-34.55	326.89	1.43	
357.08	194.65	1.89	
74.22	-371.52	1.19	
-180.77	177.81	1.89	
-86.66	225.84	1.55	
-307.46	54.18	1.80	
345.23	29.33	1.82	
114.95	108.20	1.68	
252.55	-292.16	1.54	
-146.03	272.28	1.61	
-38.88	-323.64	1.82	
-24.98	-266.89	1.32	
39.06	237.90	1.21	
-36.60	-134.71	1.30	
-4.70	173.92	1.80	
-268.66	-70.87	1.51	
110.84	127.54	1.26	
-309.29	24.45	1.85	
55.47	27.14	1.99	
-277.20	62.78	1.73	
-258.51	-371.52	1.05	
-369.83	260.23	1.43	
247.18	-31.91	1.52	
-168.45	119.15	1.44	
-144.75	51.66	1.09	
-329.08	81.62	1.10	
248.74	-115.05	1.63	
-62.14	352.86	1.50	
151.50	379.53	1.81	
-248.66	6.63	1.69	
43.73	-30.15	1.98	
-94.19	-117.06	1.84	
-117.76	324.47	1.83	
345.90	-281.27	1.22	
-274.10	-251.26	1.12	
-170.36	-258.19	1.73	
-161.98	138.11	1.27	
153.06	-216.10	1.52	
374.73	-31.70	1.31	
149.32	368.97	1.52	
190.04	-379.76	1.28	
272.21	-171.67	1.65	
-44.66	-126.75	1.06	
69.09	181.82	1.31	
290.78	151.80	1.34	
15.33	-34.56	1.51	
184.11	373.05	1.49	
69.82	132.63	1.59	
-128.05	-63.39	1.59	
194.95	-189.49	1.01	
-5.07	-52.52	1.92	
-296.35	-321.70	1.47	
-234.65	125.83	1.41	
-252.46	-14.90	1.70	
349.63	227.77	1.21	
-252.37	-116.18	1.47	
-261.30	252.17	1.02	
117.49	354.57	1.24	
234.43	274.85	1.23	
-274.59	309.67	1.10	
25.90	-287.90	1.05	
-83.61	181.32	1.09	
54.41	113.83	1.95	
360.38	333.71	1.10	
175.31	217.04	1.33	
332.47	-301.98	1.38	
376.71	91.63	1.55	
-300.45	236.90	1.10	
220.68	-79.23	1.60	
69.09	318.72	1.81	
-353.64	272.55	1.57	
335.17	85.49	1.25	
-107.25	269.85	1.73	
17.95	-179.46	1.94	
279.18	60.37	1.20	
-3.00	-91.29	1.23	
291.38	158.79	1.27	
277.83	174.06	1.43	
-135.05	67.40	1.91	
-224.16	-192.95	1.86	
136.50	-270.01	1.08	
260.01	-59.17	1.45	
-111.79	257.06	1.41	
-52.39	135.79	1.55	
368.78	-308.02	1.63	
79.78	20.08	1.71	
121.31	351.24	1.01	
-74.93	46.13	1.15	
344.18	-261.07	1.94	
82.04	-59.68	1.58	
-357.04	-250.30	1.14	
-287.87	-95.86	1.20	
322.20	-227.15	1.28	
-74.95	232.84	1.43	
-375.56	-162.53	1.35	
108.18	16.54	1.64	
-338.13	-340.87	1.01	
-115.99	57.07	1.83	
-19.28	197.87	1.73	
91.89	245.32	1.53	
216.04	134.23	1.03	
-344.12	229.37	1.18	
325.74	-47.11	1.93	
305.75	303.82	1.27	
108.86	254.78	1.50	
26.79	-240.56	1.13	
-318.66	-361.59	1.16	
-66.07	222.35	1.51	
-202.57	18.07	1.49	
